Sample in Buffer,Sample in Window,TRIGGER,dac_inst/in_clk,dac_inst/in_reset,dac_inst/in_sdo,dac_inst/p_0_in11_in,dac_inst/out_sclk,dac_inst/out_ss,dac_inst/out_sdio,dac_inst/out_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
492,492,0,0,1,0,1,0,0,0,ffff
493,493,0,0,1,0,1,0,0,0,ffff
494,494,0,0,1,0,1,0,0,0,ffff
495,495,0,0,1,0,1,0,0,0,ffff
496,496,0,0,1,0,1,1,0,0,ffff
497,497,0,0,1,0,1,1,0,0,ffff
498,498,0,0,1,0,1,1,0,0,ffff
499,499,0,0,1,0,1,1,0,0,ffff
500,500,0,0,1,0,1,1,1,0,ffff
501,501,0,0,1,0,1,1,1,0,ffff
502,502,0,0,1,0,1,1,1,0,ffff
503,503,0,0,1,0,1,1,1,0,ffff
504,504,0,0,1,0,1,1,1,0,ffff
505,505,0,0,1,0,1,1,1,0,ffff
506,506,0,0,1,0,1,1,1,0,ffff
507,507,0,0,1,0,1,1,1,0,ffff
508,508,0,0,1,0,1,1,1,0,ffff
509,509,0,0,1,0,1,1,1,0,ffff
510,510,0,0,1,0,1,1,1,0,ffff
511,511,0,0,1,0,1,1,1,0,ffff
512,512,1,0,1,0,1,1,1,0,ffff
513,513,0,0,1,0,1,1,1,0,ffff
514,514,0,0,1,0,1,1,1,0,ffff
515,515,0,0,1,0,1,1,1,0,ffff
516,516,0,0,1,0,1,1,1,0,ffff
517,517,0,0,1,0,1,1,1,0,ffff
518,518,0,0,1,0,1,1,1,0,ffff
519,519,0,0,1,0,1,1,1,0,ffff
520,520,0,0,1,0,1,1,1,0,ffff
521,521,0,0,1,0,1,1,1,0,ffff
522,522,0,0,1,0,1,1,1,0,ffff
523,523,0,0,1,0,1,1,1,0,ffff
524,524,0,0,1,0,1,1,1,0,ffff
525,525,0,0,1,0,1,1,1,0,ffff
526,526,0,0,1,0,1,1,1,0,ffff
527,527,0,0,1,0,1,1,1,0,ffff
528,528,0,0,1,0,1,1,1,0,ffff
529,529,0,0,1,0,1,1,1,0,ffff
530,530,0,0,1,0,1,1,1,0,ffff
531,531,0,0,1,0,1,1,1,0,ffff
532,532,0,0,1,0,1,1,1,0,ffff
533,533,0,0,1,0,1,1,1,0,ffff
534,534,0,0,1,0,1,1,1,0,ffff
535,535,0,0,1,0,1,1,1,0,ffff
536,536,0,0,1,0,1,1,1,0,ffff
537,537,0,0,1,0,1,1,1,0,ffff
538,538,0,0,1,0,1,1,1,0,ffff
539,539,0,0,1,0,1,1,1,0,ffff
540,540,0,0,1,0,1,1,1,0,ffff
541,541,0,0,1,0,1,1,1,0,ffff
542,542,0,0,1,0,1,1,1,0,ffff
543,543,0,0,1,0,1,1,1,0,ffff
544,544,0,0,1,0,1,1,1,0,ffff
